p_raw,p_cal,weight
0.264,0.224,110
0.264,0.225,24
0.265,0.225,135
0.266,0.225,99
0.266,0.226,34
0.267,0.226,131
0.268,0.226,94
0.268,0.227,48
0.269,0.227,134
0.27,0.227,71
0.27,0.228,54
0.271,0.228,129
0.272,0.228,51
0.272,0.229,74
0.273,0.229,144
0.274,0.229,39
0.274,0.23,91
0.275,0.23,126
0.276,0.23,35
0.276,0.231,120
0.277,0.231,136
0.278,0.231,17
0.278,0.232,110
0.279,0.232,139
0.28,0.232,2
0.28,0.233,110
0.281,0.233,111
0.281,0.234,17
0.282,0.234,113
0.283,0.234,114
0.283,0.235,20
0.284,0.235,136
0.285,0.235,120
0.285,0.236,34
0.286,0.236,142
0.287,0.236,107
0.287,0.237,49
0.288,0.237,124
0.289,0.237,88
0.289,0.238,63
0.29,0.238,132
0.291,0.238,65
0.291,0.239,65
0.292,0.239,151
0.293,0.239,52
0.293,0.24,58
0.294,0.24,147
0.295,0.24,50
0.295,0.241,93
0.296,0.241,147
0.297,0.241,34
0.297,0.242,95
0.298,0.242,149
0.299,0.242,15
0.299,0.243,106
0.3,0.243,139
0.301,0.243,16
0.301,0.244,138
0.302,0.244,148
0.303,0.244,6
0.303,0.245,111
0.304,0.245,146
0.304,0.246,8
0.305,0.246,163
0.306,0.246,138
0.306,0.247,12
0.307,0.247,146
0.308,0.247,111
0.308,0.248,20
0.309,0.248,141
0.31,0.248,104
0.31,0.249,41
0.311,0.249,146
0.312,0.249,84
0.312,0.25,35
0.313,0.25,132
0.314,0.25,93
0.314,0.251,48
0.315,0.251,140
0.316,0.251,81
0.316,0.252,51
0.317,0.252,139
0.318,0.252,71
0.318,0.253,61
0.319,0.253,130
0.32,0.253,62
0.32,0.254,78
0.321,0.254,136
0.322,0.254,46
0.322,0.255,99
0.323,0.255,143
0.324,0.255,39
0.324,0.256,97
0.325,0.256,148
0.326,0.256,35
0.326,0.257,104
0.327,0.257,126
0.328,0.257,26
0.328,0.258,100
0.329,0.258,133
0.33,0.258,15
0.33,0.259,105
0.331,0.259,134
0.332,0.259,9
0.332,0.26,129
0.333,0.26,125
0.334,0.26,6
0.334,0.261,141
0.335,0.261,130
0.335,0.262,1
0.336,0.262,135
0.337,0.262,147
0.337,0.263,4
0.338,0.263,149
0.339,0.263,134
0.339,0.264,10
0.34,0.264,117
0.341,0.264,129
0.341,0.265,22
0.342,0.265,133
0.343,0.265,109
0.343,0.266,22
0.344,0.266,144
0.345,0.266,102
0.345,0.267,48
0.346,0.267,123
0.347,0.267,105
0.347,0.268,33
0.348,0.268,128
0.349,0.268,76
0.349,0.269,39
0.35,0.269,129
0.351,0.269,85
0.351,0.27,42
0.352,0.27,125
0.353,0.27,71
0.353,0.271,56
0.354,0.271,119
0.355,0.271,63
0.355,0.272,80
0.356,0.272,152
0.357,0.272,64
0.357,0.273,69
0.358,0.273,150
0.359,0.273,43
0.359,0.274,69
0.36,0.274,134
0.361,0.274,64
0.361,0.275,95
0.362,0.275,130
0.363,0.275,35
0.363,0.276,105
0.364,0.276,127
0.365,0.276,30
0.365,0.277,86
0.366,0.277,129
0.367,0.277,48
0.367,0.278,104
0.368,0.278,131
0.369,0.278,32
0.369,0.279,99
0.37,0.279,133
0.371,0.279,25
0.371,0.28,116
0.372,0.28,145
0.373,0.28,12
0.373,0.281,98
0.374,0.281,130
0.375,0.281,11
0.375,0.282,125
0.376,0.282,136
0.377,0.282,3
0.377,0.283,122
0.378,0.283,133
0.378,0.284,2
0.379,0.284,147
0.38,0.284,122
0.38,0.285,8
0.381,0.285,127
0.382,0.285,134
0.382,0.286,15
0.383,0.286,134
0.384,0.286,114
0.384,0.287,19
0.385,0.287,134
0.386,0.287,92
0.386,0.288,30
0.387,0.288,142
0.388,0.288,107
0.388,0.289,27
0.389,0.289,116
0.39,0.289,83
0.39,0.29,35
0.391,0.29,118
0.392,0.29,74
0.392,0.291,42
0.393,0.291,128
0.394,0.291,76
0.394,0.292,59
0.395,0.292,136
0.396,0.292,89
0.396,0.293,56
0.397,0.293,115
0.398,0.293,66
0.398,0.294,73
0.399,0.294,159
0.4,0.294,54
0.4,0.295,69
